iter	Logloss
306	0.418606327
307	0.4186051574
308	0.4185773331
309	0.4185746317
310	0.418540472
311	0.4184925923
312	0.4184626758
313	0.4184373522
314	0.4184335318
315	0.4184202682
316	0.418402088
317	0.4184020814
318	0.4183661244
319	0.4183157185
320	0.418270138
321	0.4182449885
322	0.4182349693
323	0.418193462
324	0.4181598092
325	0.4181598028
326	0.4181355377
327	0.4180893602
328	0.4180642549
329	0.4180381836
330	0.4180059072
331	0.4179720065
332	0.4179719995
333	0.417955064
334	0.4179255822
335	0.417897279
336	0.4178725069
337	0.4178419746
338	0.4178295435
339	0.4178273159
340	0.417803894
341	0.4177707756
342	0.4177625207
343	0.4177459747
344	0.4177325019
345	0.4176935022
346	0.4176743837
347	0.4176584053
348	0.4176335512
349	0.4175671585
350	0.4175613258
351	0.4175460159
352	0.4175101164
353	0.4174885554
354	0.4174809501
355	0.4174504667
356	0.4174174686
357	0.4173870363
358	0.4173641552
359	0.4173452141
360	0.4172910689
361	0.4172741777
362	0.4172486193
363	0.4172327418
364	0.4172327363
365	0.4171995991
366	0.4171596193
367	0.4171133262
368	0.4171133209
369	0.4170931549
370	0.4170821699
371	0.4170525904
372	0.4170277336
373	0.4169807085
374	0.416954293
375	0.4169414318
376	0.4169136548
377	0.4168786759
378	0.4168449273
379	0.4168161747
380	0.4168124743
381	0.4167710138
382	0.416753989
383	0.416733104
384	0.4167330883
385	0.416703886
386	0.4166621938
387	0.416616859
388	0.4165850955
389	0.4165549401
390	0.4165292752
391	0.4164996681
392	0.4164466495
393	0.4164234429
394	0.4164059497
395	0.4163854334
396	0.4163487661
397	0.416314871
398	0.4163016245
399	0.4162601199
400	0.4162275526
401	0.4162091703
402	0.416200681
403	0.4161778115
404	0.4161463203
405	0.4161107173
406	0.4160904212
407	0.4160747303
408	0.4160199444
409	0.4159839159
410	0.4159440646
411	0.4159277961
412	0.4158936538
413	0.4158717178
414	0.415826099
415	0.4157999605
416	0.4157806186
417	0.415759695
418	0.4157388465
419	0.4157188125
420	0.4156717856
421	0.4156599121
422	0.4156134278
423	0.4155938335
424	0.4155807653
425	0.4155599006
426	0.4155404537
427	0.4154945898
428	0.415494547
429	0.41548264
430	0.4154490623
431	0.4154325459
432	0.4154087959
433	0.4153800861
434	0.4153507526
435	0.4153210856
436	0.4153046171
437	0.4152923332
438	0.4152632192
439	0.4152216765
440	0.4152066012
441	0.4151197858
442	0.4150938044
443	0.4150581405
444	0.415031876
445	0.4150074347
446	0.41497747
447	0.4149619529
448	0.4149179818
449	0.4148995202
450	0.4148763272
451	0.4148524377
452	0.4148300231
453	0.4148075865
454	0.4147941458
455	0.4147450068
456	0.4147115718
457	0.4146865118
458	0.4146744825
459	0.4146480095
460	0.4146340944
461	0.4145661412
462	0.4145391859
463	0.4145117106
464	0.4144981383
465	0.4144622597
466	0.4144451628
467	0.4144277034
468	0.4143945846
469	0.4143758455
470	0.414323989
471	0.4142907851
472	0.4142454136
473	0.4142267639
474	0.4141990122
475	0.4141660787
476	0.414117609
477	0.4141068038
478	0.4140821076
479	0.4140475745
480	0.4140341778
481	0.4139684736
482	0.4139482949
483	0.4139162995
484	0.4138980676
485	0.413890872
486	0.4138541467
487	0.4138397162
488	0.4138209726
489	0.4138011054
490	0.4137784636
491	0.4137530987
492	0.4137215685
493	0.4137030994
494	0.413689273
495	0.4136804491
496	0.4136599001
497	0.4136368528
498	0.4135628676
499	0.4135313484
