iter	Logloss
0	0.6772177539
1	0.6627931969
2	0.6494542229
3	0.6363050996
4	0.6240817859
5	0.6132314878
6	0.6022059043
7	0.5925827789
8	0.5840327989
9	0.5757161626
10	0.5679223719
11	0.5610606704
12	0.5537761545
13	0.5469902166
14	0.5406437316
15	0.5354727979
16	0.5301143254
17	0.5249267158
18	0.5205455107
19	0.5158210863
20	0.5119812308
21	0.5077275729
22	0.5042240201
23	0.5003919433
24	0.4971497756
25	0.4939807852
26	0.4912645146
27	0.4885712613
28	0.4855925339
29	0.4831757157
30	0.4807762166
31	0.4784755876
32	0.4765221348
33	0.4746035573
34	0.4725476538
35	0.4710176151
36	0.4696526219
37	0.4682383942
38	0.4666294947
39	0.4652316336
40	0.4638965264
41	0.4625243171
42	0.4613464655
43	0.4600618165
44	0.4589482669
45	0.457662169
46	0.456480651
47	0.4557422327
48	0.4546642192
49	0.4538843551
50	0.453126796
51	0.4524732351
52	0.4515218337
53	0.4507966073
54	0.4502075303
55	0.4494896467
56	0.4488151918
57	0.44817291
58	0.4475084095
59	0.4469312038
60	0.4461841846
61	0.4458235385
62	0.445345919
63	0.4448560903
64	0.4443687719
65	0.4437226368
66	0.4431071577
67	0.442724069
68	0.4421742724
69	0.4417385665
70	0.4411898668
71	0.4407653501
72	0.440438617
73	0.440138014
74	0.4397665762
75	0.4394289464
76	0.4390290836
77	0.4387587755
78	0.4383283242
79	0.4381036021
80	0.4378513545
81	0.4376940647
82	0.4373787198
83	0.4371282887
84	0.4368507577
85	0.4365374959
86	0.4361839453
87	0.4360302141
88	0.4358130636
89	0.4356644015
90	0.4353918653
91	0.4350808265
92	0.4347430459
93	0.4345679249
94	0.4343839454
95	0.4341706229
96	0.4339972937
97	0.4338287036
98	0.433647203
99	0.43348977
100	0.4332636426
101	0.4330597686
102	0.4328899326
103	0.4327127976
104	0.432565409
105	0.4323976645
106	0.43215331
107	0.4319722203
108	0.4317885719
109	0.4315892119
110	0.4314100213
111	0.4311787669
112	0.4309614886
113	0.430836134
114	0.4307541169
115	0.4305621421
116	0.4303928745
117	0.4301848767
118	0.4300825125
119	0.4298615629
120	0.429747003
121	0.4295577737
122	0.4294755296
123	0.4293141318
124	0.4292506632
125	0.429220329
126	0.4290518933
127	0.4289804543
128	0.4288367385
129	0.428787953
130	0.4286579847
131	0.4285002449
132	0.4283306026
133	0.4281974718
134	0.4281093413
135	0.4280165751
136	0.427920296
137	0.4278224229
138	0.4277380396
139	0.4276615379
140	0.4275287598
141	0.427382222
142	0.4272782891
143	0.4272448362
144	0.4270822745
145	0.4270100061
146	0.4269134626
147	0.4267536466
148	0.4267169624
149	0.4266303056
150	0.4265372737
151	0.4263803724
152	0.4263175616
153	0.4262421896
154	0.4261685453
155	0.4260400979
156	0.4259703366
157	0.4259050251
158	0.4258480993
159	0.4257719933
160	0.4257408952
161	0.4256954802
162	0.4256330472
163	0.425575693
164	0.4255136266
165	0.4254630539
166	0.4253417814
167	0.4252799197
168	0.4251349621
169	0.4250887898
170	0.4250416676
171	0.424995593
172	0.4248542544
173	0.4248085114
174	0.4246932068
175	0.4246212766
176	0.4245229103
177	0.4244706919
178	0.4244196716
179	0.4243701975
180	0.4242717659
181	0.4241491254
182	0.4240652753
183	0.4240001694
184	0.4239422979
185	0.4238288691
186	0.4237283425
187	0.4236448517
188	0.4235623835
189	0.4234848519
190	0.4233993034
191	0.423353744
192	0.4233171731
193	0.4232584281
194	0.423196509
195	0.423180128
196	0.4231487026
197	0.4230736495
198	0.4229786141
199	0.4229138965
200	0.4228174641
201	0.4228024076
202	0.4227278865
203	0.4226794627
204	0.4226237047
205	0.4225925855
206	0.4225500042
207	0.4225055636
208	0.4224460614
209	0.4223624029
210	0.4223381142
211	0.4223194335
212	0.4222497044
213	0.4222238838
214	0.4221668079
215	0.4220963829
216	0.4220634522
217	0.4219927643
218	0.4219370037
219	0.421848351
220	0.4218334248
221	0.4217682125
222	0.4217137672
223	0.4216645605
224	0.4216038454
225	0.421587917
226	0.4215084632
227	0.4214872492
228	0.4214648669
229	0.4214464392
230	0.4213657357
231	0.4213318145
232	0.4212441248
233	0.4212242125
234	0.4211853837
235	0.4211693975
236	0.4211324391
237	0.421075502
238	0.4210206189
239	0.4209748296
240	0.4209584379
241	0.4208910195
242	0.4208348467
243	0.4208157002
244	0.4207803388
245	0.4207501311
246	0.420658895
247	0.4206156213
248	0.4205471219
249	0.420523887
250	0.4204653122
251	0.4204121634
252	0.4203494369
253	0.4203332776
254	0.4202964486
255	0.4202393156
256	0.4201847316
257	0.4201805606
258	0.4201429392
259	0.4201250667
260	0.4200812071
261	0.4200644666
262	0.4200105579
263	0.4199918342
264	0.4199201255
265	0.4198750585
266	0.4198275657
267	0.4197958159
268	0.4197778265
269	0.4197582629
270	0.4197255575
271	0.4196548087
272	0.4196408368
273	0.4196010435
274	0.4196006576
275	0.4195657502
276	0.4195228665
277	0.4195013521
278	0.4194643038
279	0.4194124103
280	0.4193830004
281	0.4193521436
282	0.4193062087
283	0.419258883
284	0.4192290577
285	0.4192042255
286	0.4191922555
287	0.4191495037
288	0.4191167022
289	0.4191166916
290	0.4190664417
291	0.4190090694
292	0.4189639265
293	0.4189639149
294	0.4189639041
295	0.4189372197
296	0.4189110405
297	0.4188829916
298	0.418830523
299	0.4188095434
300	0.4187778102
301	0.4187304102
302	0.41869288
303	0.4186575586
304	0.4186552655
305	0.4186202117
